imgid,H-Uncertainty
9015902_3126883,605.5148301827818
9024157_3110373,548.8840765791427
9015902_3088359,523.3135068505949
9007647_3143393,489.1656536522551
9029661_3107621,487.50544585629626
9040668_3110373,468.47678450818205
9015902_3085607,466.37812510498486
8988385_3137890,460.02991142056226
9018654_3099366,459.5295306155232
9007647_3124131,457.12362145210216
8999392_3137890,457.07010139232017
8996640_3102117,454.6013480956043
9010399_3093862,450.42317574144255
9013151_3088359,444.8595036861166
9021406_3115876,444.5304157408371
9024157_3126883,443.4215992038877
9002144_3118628,443.3309696488852
9002144_3115876,441.2663527457034
9007647_3118628,437.8865707721384
9026909_3113124,437.63949722095407
8982881_3146145,436.9748875478332
9010399_3088359,434.45623979398437
9007647_3082855,434.2039194415325
8982881_3146145,432.91400558253133
9004895_3124131,430.19400663995
9007647_3093862,430.18957441134984
9015902_3135138,429.0949648358234
8985633_3140642,428.9751549051903
9018654_3102117,427.43846956146
9021406_3107621,426.6697066158594
9002144_3124131,426.40674183670995
9002144_3088359,426.2957302069777
9021406_3124131,425.0729716049654
9015902_3124131,422.8826922540335
9015902_3102117,422.7805363108622
9024157_3107621,422.2366471320429
9024157_3093862,421.9950574161744
9007647_3126883,419.08281448076355
9026909_3118628,417.94838177499616
8985633_3140642,417.9246397813447
9024157_3113124,414.02960290971
9037916_3135138,412.28512240780793
9029661_3115876,412.0266720161019
9007647_3126883,411.24279040131665
8996640_3093862,410.90823149666136
9018654_3096614,410.56081770664684
9024157_3113124,410.3685289269708
9035164_3113124,408.73809820207356
9024157_3091111,408.4928855086129
8993888_3099366,408.331917385811
9002144_3118628,407.8734227366596
9018654_3096614,405.2082763265513
9021406_3118628,404.5002557558406
9013151_3104869,403.51776242032935
9032413_3107621,403.21461235639345
9040668_3104869,402.5719497946698
9024157_3104869,402.04802360619937
9018654_3099366,401.0369002862232
9010399_3107621,400.02782486381886
9002144_3077352,398.7577052778698
9040668_3082855,398.65605804725476
9004895_3118628,398.56692898447056
9024157_3110373,398.52569092817515
9021406_3124131,397.8906398537668
8999392_3110373,397.21600318392575
9024157_3096614,393.7839905644991
9013151_3104869,393.72017607254963
8988385_3135138,393.6979053111199
9021406_3118628,393.65785912216637
9026909_3118628,393.1785348569315
9002144_3146145,392.77411082097007
8991137_3143393,392.7164255640701
8996640_3135138,392.61025666733843
8982881_3132387,392.26235644667344
9015902_3121380,392.22078054725444
9002144_3132387,392.17736803604566
9021406_3104869,391.6890365299908
9024157_3113124,390.6085166872025
8988385_3121380,390.5689897676864
9032413_3104869,389.69659575699234
9021406_3118628,389.64730764833286
9026909_3113124,389.499037639176
9010399_3124131,389.4672716761605
9021406_3102117,389.3659669243596
8982881_3146145,389.24078105294575
9002144_3113124,388.03073693547424
9004895_3118628,387.810016691057
9021406_3115876,387.3546448304601
9024157_3143393,386.71842357541425
9018654_3091111,386.5561642958819
8985633_3140642,386.05858929359505
9010399_3124131,385.7037735043918
8999392_3080104,385.1011189532634
9013151_3113124,384.7039687206245
9035164_3107621,383.9719105882748
9035164_3146145,383.946534425128
9004895_3115876,383.89683892864235
9010399_3126883,383.8695506594681
8993888_3118628,383.65555685162815
8985633_3140642,382.3721029572554
