2025-06-18 05:56:37.560106: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1750206397.578824  699775 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1750206397.584550  699775 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1750206397.599257  699775 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1750206397.599295  699775 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1750206397.599299  699775 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1750206397.599302  699775 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
2025-06-18 05:56:37.603706: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/domain_experiment/scripts/continent_embedding_crops.py:37: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler()
/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/domain_experiment/scripts/continent_embedding_crops.py:49: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():
uttar_pradesh-resnet18 on GPU 0 | Epoch 1 Loss: 0.5790
uttar_pradesh-resnet18 on GPU 0 | Epoch 2 Loss: 0.4239
uttar_pradesh-resnet18 on GPU 0 | Epoch 3 Loss: 0.3318
uttar_pradesh-resnet18 on GPU 0 | Epoch 4 Loss: 0.2335
uttar_pradesh-resnet18 on GPU 0 | Epoch 5 Loss: 0.1498
uttar_pradesh-resnet18 on GPU 0 | Epoch 6 Loss: 0.0954
uttar_pradesh-resnet18 on GPU 0 | Epoch 7 Loss: 0.0614
uttar_pradesh-resnet18 on GPU 0 | Epoch 8 Loss: 0.0551
uttar_pradesh-resnet18 on GPU 0 | Epoch 9 Loss: 0.0429
uttar_pradesh-resnet18 on GPU 0 | Epoch 10 Loss: 0.0526
uttar_pradesh-resnet18 on GPU 0 | Epoch 11 Loss: 0.0340
uttar_pradesh-resnet18 on GPU 0 | Epoch 12 Loss: 0.0375
uttar_pradesh-resnet18 on GPU 0 | Epoch 13 Loss: 0.0256
uttar_pradesh-resnet18 on GPU 0 | Epoch 14 Loss: 0.0276
uttar_pradesh-resnet18 on GPU 0 | Epoch 15 Loss: 0.0327
uttar_pradesh-resnet18 on GPU 0 | Epoch 16 Loss: 0.0315
uttar_pradesh-resnet18 on GPU 0 | Epoch 17 Loss: 0.0201
uttar_pradesh-resnet18 on GPU 0 | Epoch 18 Loss: 0.0258
uttar_pradesh-resnet18 on GPU 0 | Epoch 19 Loss: 0.0232
uttar_pradesh-resnet18 on GPU 0 | Epoch 20 Loss: 0.0272
uttar_pradesh-resnet18 on GPU 0 | Epoch 21 Loss: 0.0164
